,event_info,threat_level_id,num_ips,has_multiple_ip_ranges,unique_ip_countries,criticite
2,"OSINT - Dridex Actors Get In the Ransomware Game With ""Locky""",3,0,0,0,1.0
3,OSINT Dust Storm Campaign Targeting Japanese Critical Infrastructure,2,47,1,1,0.0
4,OSINT - Android-based Smart TVs Hit By Backdoor Spread Via Malicious App,3,0,0,0,1.0
5,OSINT - Botnet bruteforcing Point Of Sale terminals via Remote Desktop,3,1,0,1,1.0
6,OSINT - Turla - Harnessing SSL Certificates Using Infrastructure Chaining,2,27,1,1,0.0
7,OSINT - ATMZombie: banking trojan in Israeli waters,3,4,1,1,1.0
8,OSINT - New Hacking team samples (OSX),1,1,0,1,0.0
9,OSINT - A Look Into Fysbis: Sofacyâ€™s Linux Backdoor,2,1,0,1,0.0
10,OSINT - Packrat: Seven Years of a South American Threat Actor,2,2,1,1,0.0
11,OSINT - PlugX-Ñ‚ Ó©Ñ€Ñ‚ÑÓ©Ð½ ÑÐ¸ÑÑ‚ÐµÐ¼Ð¸Ð¹Ð³ Ñ†ÑÐ²ÑÑ€Ð»ÑÑ… Ð½ÑŒ,2,4,1,1,0.0
12,"Malspam collection (2016-03-02) - Locky, TeslaCrypt",3,30,1,1,1.0
13,OSINT - LOCKY DGA THREAT ACTOR(S),3,4,0,1,1.0
14,Dridex (2016-03-07),3,10,1,1,1.0
15,TeslaCrypt (2016-03-08),3,4,1,1,1.0
16,BadMirror: New Android Malware Family Spotted by SherlockDroid,3,0,0,0,1.0
17,"OSINT - The Connections Between MiniDuke, CosmicDuke and OnionDuke",2,0,0,0,0.0
19,OSINT - New OS X Ransomware KeRanger Infected Transmission BitTorrent Client Installer,3,0,0,0,1.0
20,OSINT APT Bestia used in APT attacks on Polish Government,2,0,0,0,0.0
21,OSINT -  Clickjacking Campaign Plays on European Cookie Law,3,0,0,0,1.0
22,Dridex (2016-03-09) - botnet 220,3,24,1,1,1.0
23,"Malspam (2016-03-09) - Locky, TeslaCrypt",3,20,1,1,1.0
24,OSINT - The Cerber Ransomware not only Encrypts Your Data But Also Speaks to You,3,0,0,0,1.0
25,Cerber Ransomware,3,0,0,0,1.0
26,OSINT - Shifting Tactics: Tracking changes in years-long espionage campaign against Tibetans,2,0,0,0,0.0
27,"Malspam (2016-03-10) - Locky, TeslaCrypt",3,9,1,1,1.0
28,OSINT - Android banking trojan masquerades as Flash Player and bypasses 2FA,3,3,1,1,1.0
30,OSINT -  Death Comes Calling: Thanatos/Alphabot Trojan Hits the Market,3,1,0,1,1.0
31,'Surprise' Ransomware (2016-03-11),3,0,0,0,1.0
32,OSINT - PowerSniff Malware Used in Macro-based Attacks,2,0,0,0,0.0
35,"Malspam (2016-03-14) - Locky, TeslaCrypt",3,26,1,1,1.0
37,Potential SpamBots (2016-03-15),3,7,1,1,1.0
39,Dridex botnet 222 (20160315),3,6,1,1,1.0
43,Dridex of the day (2016-03-16) - botnet 120,3,41,1,1,1.0
44,OSINT - Malicious iBanking application with new uninstall countermeasures,3,0,0,0,1.0
45,Locky (2016-03-16),3,8,1,1,1.0
46,OSINT - AceDeceiver: First iOS Trojan Exploiting Apple DRM Design Flaws to Infect Any iOS Device,3,0,0,0,1.0
49,OSINT - STOP SCANNING MY MACRO,3,0,0,0,1.0
51,OSINT - Petya Ransomware,3,0,0,0,1.0
52,OSINT - Malware is being signed with multiple digital certificates to evade detection,2,1,0,1,0.0
53,OSINT - Evolution of SamSa Malware Suggests New Ransomware Tactics In Play,3,0,0,0,1.0
54,OSINT - PETYA Crypto-ransomware Overwrites MBR to Lock Users Out of Their Computers,3,0,0,0,1.0
55,OSINT - New self-protecting USB trojan able to avoid detection,3,0,0,0,1.0
56,OSINT - SURGE IN SPAM CAMPAIGN DELIVERING LOCKY RANSOMWARE DOWNLOADERS,3,4,1,1,1.0
57,OSINT - McAfee Labs Threat Advisory Ransomware-Locky,3,4,1,1,1.0
58,OSINT - Malware Employs PowerShell to Infect Systems,3,1,0,1,1.0
59,OSINT - TREASUREHUNT: A CUSTOM POS MALWARE TOOL,3,2,1,1,1.0
60,Locky of the day (20160328) -  affid=3,3,6,1,1,1.0
62,OSINT - Taiwan targeted with new cyberespionage back door Trojan,2,5,1,1,0.0
64,OSINT - Meet Remaiten â€“ a Linux bot on steroids targeting routers and potentially other IoT devices,3,3,1,1,1.0
65,Malspam (2016-04-05) - TeslaCrypt,3,18,1,1,1.0
66,Dridex (2016-04-06) - botnet 122,3,23,1,1,1.0
67,OSINT - Most prevalent Android ransomware in the West arrives in Japan,2,0,0,0,0.0
68,Kegotip downloader,3,1,0,1,1.0
69,PWS: Win32/Kegotip.C,3,8,1,1,1.0
70,Information stealer: Fareit,3,1,0,1,1.0
71,OSINT - Locky: the encryptor taking the world by storm,3,0,0,0,1.0
72,OSINT - ModPOS: A Framework Lurking in Point-of-Sale System Kernels,3,2,1,1,1.0
73,OSINT - Locky Ransomware Domains â€“ Followup Analysis Uncovers 130 New Indicators,3,10,1,1,1.0
