,event_info,num_ips,has_multiple_ip_ranges,unique_ip_countries,critical
0,OSINT - New Hacking team samples (OSX),1,0,1,0.0
1,OSINT - APT Case RUAG Technical Report,12,1,1,0.0
2,OSINT - Looking Into a Cyber-Attack Facilitator in the Netherlands by Trend Micro,0,0,0,0.0
3,OSINT New Sofacy Attacks Against US Government Agency by Palo Alto Unit 42,1,0,1,0.0
4,Guccifer 2.0: All Roads Lead to Russia - Threatconnect report,7,1,1,0.0
5,OSINT - ProjectSauron: top level cyber-espionage platform covertly extracts encrypted government comms,6,1,1,0.0
6,OSINT Threat Group-4127 Targets Google Accounts by Secureworks,0,0,0,0.0
7,OSINT Microsoft Office Zero-Day CVE-2015-2424 Leveraged By Tsar Team report by iSight,1,0,1,0.0
8,OSINT Regin samples shared by VirusShare,0,0,0,0.0
9,Secret Malware in European Union Attack Linked to U.S. and British Intelligence article by the Intercept,0,0,0,0.0
10,OSINT  Analysis of Project Cobra Another extensible framework used by the Uroburosâ€™ actors from Gdata,0,0,0,0.0
11,OSINT Additional yara rules for Equation Drug by Florian Roth,0,0,0,0.0
12,OSINT Expansion on Snake,6,1,1,0.0
13,OSINT 20141029B: Possible RedOctober APT Resurgence from ThreatConnect,0,0,0,0.0
14,OSINT Puttering into the Future...by Cylance,3,1,1,0.0
15,Additional IPs for Turla/Uroburos from CIRCL Passive SSL,36,1,1,0.0
16,Regin Scanner,0,0,0,0.0
17,OSINT Threat Actors Use Sketchy Dating Website to Launch New Home Router Attacks by Damballa,2,1,1,0.0
18,OSINT Introducing Hi-Zor RAT by Fidelis,3,1,1,0.0
19,OSINT Attacks on East Asia using Google Code for Command and Control by Palo Alto Unit 42,8,1,1,0.0
20,Pivot on other email addresses found by using the same physical address as support-apple-id.com - potential sofacy,0,0,0,0.0
21,OSINT  Cheshire Cat,0,0,0,0.0
22,OSINT Backdoor.Win32.Equationdrug.A report by Telus,0,0,0,0.0
23,OSINT Enrichment on OSINT - STRONTIUM: A profile of a persistent and motivated adversary,28,1,1,0.0
24,OSINT Android.Bankosy: All ears on voice call-based 2FA by Symantec,5,1,1,0.0
25,OSINT Expansion on APT-28 - Evolving Threats: dissection of a Cyber-Espionage attack,12,1,1,0.0
26,OSINT Additional yara rules for detection Project Sauron by Florian Roth,0,0,0,0.0
27,The Million Dollar Dissident - Citizen lab report,6,1,1,0.0
28,"Malware Posing as Human Rights Organizations and Commercial Software Targeting Iranians, Foreign Policy Institutions and Middle Eastern Countries (ExtremeDownloader and Strealer)",1,0,1,0.0
29,OSINT - Sofacyâ€™s â€˜Komplexâ€™ OS X Trojan by Palo Alto networks,1,0,1,0.0
30,OSINT: Malicious software targeting financial sector internals,5,1,1,0.0
31,Stantinko investigation,4,1,1,0.0
32,OSINT New Variants of Agent.BTZ/ComRAT Found: The Threat That Hit The Pentagon In 2008 Still Evolving by Intezer,9,1,1,0.0
33,Finding Nemo(hosts) from Sofacy by ThreatConnect,52,1,1,0.0
34,OSINT Duping Doping Domains - Possible Fancy Bear Domains Spoofing Anti-Doping and Olympic Organizations by ThreatConnect,3,1,1,0.0
35,OSINT Fancy Bear Pens the Worst Blog Posts Ever by ThreatConnect,2,1,1,0.0
36,OSINT Track to the future - How to use historical intelligence to get back to the future and defend your organization (example using APT28) by ThreatConnect,37,1,1,0.0
37,A Slice of 2017 Sofacy Activity by Kaspersky,0,0,0,0.0
38,Flash CVE-2018-15982 IOCs,3,1,1,0.0
39,Turla Outlook White Paper,0,0,0,0.0
40,Emissary Panda Attacks Middle East Government Sharepoint Servers by Palo Alto Unit42,1,0,1,0.0
41,MISSING LINK: Tibetan Groups Targeted with Mobile Exploits,12,1,1,0.0
42,OSINT -  Wrong hashes (from getmonero.org) #6151 - malicious binaries,2,1,1,0.0
43,Malicious PyPI packages,0,0,0,0.0
44,OSINT - BfV Cyber-Brief Nr. 01/2019 - Hinweis auf aktuelle Angriffskampagne -,0,0,0,0.0
45,OSINT -  GALLIUM: Targeting global telecom,0,0,0,0.0
46,"OSINT - TA505 evolves ServHelper, uses Predator The Thief and Team Viewer Hijacking",0,0,0,0.0
47,OSINT -  More than a Dozen Obfuscated APT33 Botnets Used for Extreme Narrow Targeting,0,0,0,0.0
48,OSINT - Iranian PupyRAT Bites Middle Eastern Organizations,2,1,1,0.0
49,Ransomware Activity Targeting the Healthcare and Public Health Sector,5,1,1,0.0
