event_info,threat_level_id,num_domains,num_ips,num_urls,has_multiple_ip_ranges,unique_ip_countries,avg_domain_entropy,avg_length_of_urls,criticite
"OSINT - Dridex Actors Get In the Ransomware Game With ""Locky""",3,4,0,20,0,0,3.359282339023789,40.35,1.0
OSINT Dust Storm Campaign Targeting Japanese Critical Infrastructure,2,162,47,3,1,1,3.1776748325959905,112.33333333333331,0.0
OSINT - Android-based Smart TVs Hit By Backdoor Spread Via Malicious App,3,2,0,18,0,0,3.169925001442312,87.0,1.0
OSINT - Botnet bruteforcing Point Of Sale terminals via Remote Desktop,3,0,1,4,0,1,0.0,114.0,1.0
OSINT - Turla - Harnessing SSL Certificates Using Infrastructure Chaining,2,10,27,1,1,1,2.9037070031452736,87.0,0.0
OSINT - ATMZombie: banking trojan in Israeli waters,3,4,4,12,1,1,3.2941984434549703,114.41666666666669,1.0
OSINT - New Hacking team samples (OSX),1,0,1,3,0,1,0.0,108.66666666666669,0.0
OSINT - A Look Into Fysbis: Sofacyâ€™s Linux Backdoor,2,3,1,4,0,1,3.5894003143381368,111.0,0.0
OSINT - Packrat: Seven Years of a South American Threat Actor,2,87,2,21,1,1,3.3946643187804204,76.0,0.0
OSINT - PlugX-Ñ‚ Ó©Ñ€Ñ‚ÑÓ©Ð½ ÑÐ¸ÑÑ‚ÐµÐ¼Ð¸Ð¹Ð³ Ñ†ÑÐ²ÑÑ€Ð»ÑÑ… Ð½ÑŒ,2,10,4,2,1,1,3.1954178295893354,43.0,0.0
"Malspam collection (2016-03-02) - Locky, TeslaCrypt",3,34,30,35,1,1,3.294988940368578,53.97142857142857,1.0
OSINT - LOCKY DGA THREAT ACTOR(S),3,3790,4,1,0,1,3.42984196531626,57.0,1.0
Dridex (2016-03-07),3,0,10,20,1,1,0.0,117.0,1.0
TeslaCrypt (2016-03-08),3,3,4,15,1,1,3.455358362998426,90.93333333333334,1.0
BadMirror: New Android Malware Family Spotted by SherlockDroid,3,0,0,7,0,0,0.0,70.28571428571429,1.0
"OSINT - The Connections Between MiniDuke, CosmicDuke and OnionDuke",2,0,0,7,0,0,0.0,117.0,0.0
OSINT - New OS X Ransomware KeRanger Infected Transmission BitTorrent Client Installer,3,3,0,10,0,0,2.1556390622295662,91.3,1.0
OSINT APT Bestia used in APT attacks on Polish Government,2,0,0,3,0,0,0.0,72.0,0.0
OSINT -  Clickjacking Campaign Plays on European Cookie Law,3,6,0,1,0,0,3.6357100171010366,100.0,1.0
Dridex (2016-03-09) - botnet 220,3,0,24,6,1,1,0.0,49.0,1.0
"Malspam (2016-03-09) - Locky, TeslaCrypt",3,12,20,34,1,1,3.377760178887465,80.61764705882354,1.0
OSINT - The Cerber Ransomware not only Encrypts Your Data But Also Speaks to You,3,0,0,4,0,0,0.0,117.25,1.0
Cerber Ransomware,3,1,0,5,0,0,3.788754913993503,31.8,1.0
OSINT - Shifting Tactics: Tracking changes in years-long espionage campaign against Tibetans,2,5,0,9,0,0,3.684126228070381,87.88888888888889,0.0
"Malspam (2016-03-10) - Locky, TeslaCrypt",3,1,9,18,1,1,3.327819531114783,73.33333333333333,1.0
OSINT - Android banking trojan masquerades as Flash Player and bypasses 2FA,3,0,3,14,1,1,0.0,54.92857142857143,1.0
OSINT -  Death Comes Calling: Thanatos/Alphabot Trojan Hits the Market,3,1,1,4,0,1,3.784183719779189,113.0,1.0
'Surprise' Ransomware (2016-03-11),3,1,0,2,0,0,3.277613436819116,77.5,1.0
