event_id,event_info,date,threat_level_id,num_domains,num_ips,num_sha256,num_urls,has_malware_hash,has_multiple_ip_ranges,unique_ip_countries,avg_domain_entropy,avg_length_of_urls,critical,clean_text
3,"OSINT - Dridex Actors Get In the Ransomware Game With ""Locky""",2016-02-17,3,4,0,0,20,0,0,0,3.359282339023789,40.35,1.0,osint dridex actor get ransomware game locky
4,OSINT Dust Storm Campaign Targeting Japanese Critical Infrastructure,2016-02-23,2,162,47,0,3,0,1,1,3.1776748325959905,112.33333333333331,0.0,osint dust storm campaign targeting japanese critical infrastructure
5,OSINT - Android-based Smart TVs Hit By Backdoor Spread Via Malicious App,2016-01-07,3,2,0,10,18,1,0,0,3.169925001442312,87.0,1.0,osint androidbased smart tv hit backdoor spread via malicious app
6,OSINT - Botnet bruteforcing Point Of Sale terminals via Remote Desktop,2014-03-11,3,0,1,3,4,1,0,1,0.0,114.0,1.0,osint botnet bruteforcing point sale terminal via remote desktop
7,OSINT - Turla - Harnessing SSL Certificates Using Infrastructure Chaining,2016-02-13,2,10,27,0,1,0,1,1,2.9037070031452736,87.0,0.0,osint turla harnessing ssl certificate using infrastructure chaining
8,OSINT - ATMZombie: banking trojan in Israeli waters,2016-02-29,3,4,4,11,12,1,1,1,3.2941984434549703,114.41666666666669,1.0,osint atmzombie banking trojan israeli water
9,OSINT - New Hacking team samples (OSX),2016-02-29,1,0,1,2,3,1,0,1,0.0,108.66666666666669,0.0,osint new hacking team sample osx
10,OSINT - A Look Into Fysbis: Sofacyâ€™s Linux Backdoor,2016-02-13,2,3,1,3,4,1,0,1,3.5894003143381368,111.0,0.0,osint look fysbis sofacys linux backdoor
11,OSINT - Packrat: Seven Years of a South American Threat Actor,2015-12-09,2,87,2,12,21,1,1,1,3.3946643187804204,76.0,0.0,osint packrat seven year south american threat actor
12,OSINT - PlugX-Ñ‚ Ó©Ñ€Ñ‚ÑÓ©Ð½ ÑÐ¸ÑÑ‚ÐµÐ¼Ð¸Ð¹Ð³ Ñ†ÑÐ²ÑÑ€Ð»ÑÑ… Ð½ÑŒ,2015-12-01,2,10,4,0,2,0,1,1,3.1954178295893354,43.0,0.0,osint plugx
13,"Malspam collection (2016-03-02) - Locky, TeslaCrypt",2016-03-02,3,34,30,0,35,0,1,1,3.294988940368578,53.97142857142857,1.0,malspam collection locky teslacrypt
14,OSINT - LOCKY DGA THREAT ACTOR(S),2016-03-07,3,3790,4,0,1,0,0,1,3.42984196531626,57.0,1.0,osint locky dga threat actor
15,Dridex (2016-03-07),2016-03-07,3,0,10,0,20,0,1,1,0.0,117.0,1.0,dridex
16,TeslaCrypt (2016-03-08),2016-03-08,3,3,4,0,15,0,1,1,3.455358362998426,90.93333333333334,1.0,teslacrypt
17,BadMirror: New Android Malware Family Spotted by SherlockDroid,2016-03-08,3,0,0,11,7,1,0,0,0.0,70.28571428571429,1.0,badmirror new android malware family spotted sherlockdroid
18,"OSINT - The Connections Between MiniDuke, CosmicDuke and OnionDuke",2015-01-08,2,0,0,7,7,1,0,0,0.0,117.0,0.0,osint connection miniduke cosmicduke onionduke
20,OSINT - New OS X Ransomware KeRanger Infected Transmission BitTorrent Client Installer,2016-03-06,3,3,0,6,10,1,0,0,2.1556390622295662,91.3,1.0,osint new ransomware keranger infected transmission bittorrent client installer
21,OSINT APT Bestia used in APT attacks on Polish Government,2014-03-19,2,0,0,0,3,0,0,0,0.0,72.0,0.0,osint apt bestia used apt attack polish government
22,OSINT -  Clickjacking Campaign Plays on European Cookie Law,2016-01-07,3,6,0,0,1,0,0,0,3.6357100171010366,100.0,1.0,osint clickjacking campaign play european cookie law
23,Dridex (2016-03-09) - botnet 220,2016-03-09,3,0,24,0,6,0,1,1,0.0,49.0,1.0,dridex botnet
24,"Malspam (2016-03-09) - Locky, TeslaCrypt",2016-03-09,3,12,20,0,34,0,1,1,3.377760178887465,80.61764705882354,1.0,malspam locky teslacrypt
25,OSINT - The Cerber Ransomware not only Encrypts Your Data But Also Speaks to You,2016-03-10,3,0,0,2,4,1,0,0,0.0,117.25,1.0,osint cerber ransomware encrypts data also speaks
26,Cerber Ransomware,2016-03-10,3,1,0,0,5,0,0,0,3.788754913993503,31.8,1.0,cerber ransomware
27,OSINT - Shifting Tactics: Tracking changes in years-long espionage campaign against Tibetans,2016-03-10,2,5,0,5,9,1,0,0,3.684126228070381,87.88888888888889,0.0,osint shifting tactic tracking change yearslong espionage campaign tibetan
28,"Malspam (2016-03-10) - Locky, TeslaCrypt",2016-03-10,3,1,9,0,18,0,1,1,3.327819531114783,73.33333333333333,1.0,malspam locky teslacrypt
29,OSINT - Android banking trojan masquerades as Flash Player and bypasses 2FA,2016-03-11,3,0,3,3,14,1,1,1,0.0,54.92857142857143,1.0,osint android banking trojan masquerade flash player bypass
31,OSINT -  Death Comes Calling: Thanatos/Alphabot Trojan Hits the Market,2016-03-11,3,1,1,3,4,1,0,1,3.784183719779189,113.0,1.0,osint death come calling thanatosalphabot trojan hit market
32,'Surprise' Ransomware (2016-03-11),2016-03-11,3,1,0,0,2,0,0,0,3.277613436819116,77.5,1.0,surprise ransomware
33,OSINT - PowerSniff Malware Used in Macro-based Attacks,2016-03-11,2,7,0,18,19,1,0,0,3.576955674063773,116.0,0.0,osint powersniff malware used macrobased attack
36,"Malspam (2016-03-14) - Locky, TeslaCrypt",2016-03-14,3,15,26,0,46,0,1,1,3.26792301285877,90.32608695652172,1.0,malspam locky teslacrypt
38,Potential SpamBots (2016-03-15),2016-03-15,3,0,7,0,0,0,1,1,0.0,0.0,1.0,potential spambots
40,Dridex botnet 222 (20160315),2016-03-15,3,0,6,1,31,1,1,1,0.0,48.29032258064516,1.0,dridex botnet
44,Dridex of the day (2016-03-16) - botnet 120,2016-03-16,3,3,41,0,19,0,1,1,3.461099201854101,106.0,1.0,dridex day botnet
45,OSINT - Malicious iBanking application with new uninstall countermeasures,2016-03-16,3,0,0,2,3,1,0,0,0.0,94.0,1.0,osint malicious ibanking application new uninstall countermeasure
46,Locky (2016-03-16),2016-03-16,3,2,8,0,6,0,1,1,3.0867786311375927,90.66666666666669,1.0,locky
