,event_info,num_domains,num_ips,num_urls,has_multiple_ip_ranges,unique_ip_countries,avg_domain_entropy,avg_length_of_urls,criticite
2,"OSINT - Dridex Actors Get In the Ransomware Game With ""Locky""",4,0,20,0,0,3.359282339023789,40.35,1.0
3,OSINT Dust Storm Campaign Targeting Japanese Critical Infrastructure,162,47,3,1,1,3.1776748325959905,112.33333333333331,0.0
4,OSINT - Android-based Smart TVs Hit By Backdoor Spread Via Malicious App,2,0,18,0,0,3.169925001442312,87.0,1.0
5,OSINT - Botnet bruteforcing Point Of Sale terminals via Remote Desktop,0,1,4,0,1,0.0,114.0,1.0
6,OSINT - Turla - Harnessing SSL Certificates Using Infrastructure Chaining,10,27,1,1,1,2.9037070031452736,87.0,0.0
7,OSINT - ATMZombie: banking trojan in Israeli waters,4,4,12,1,1,3.2941984434549703,114.41666666666669,1.0
8,OSINT - New Hacking team samples (OSX),0,1,3,0,1,0.0,108.66666666666669,0.0
9,OSINT - A Look Into Fysbis: Sofacyâ€™s Linux Backdoor,3,1,4,0,1,3.5894003143381368,111.0,0.0
10,OSINT - Packrat: Seven Years of a South American Threat Actor,87,2,21,1,1,3.3946643187804204,76.0,0.0
11,OSINT - PlugX-Ñ‚ Ó©Ñ€Ñ‚ÑÓ©Ð½ ÑÐ¸ÑÑ‚ÐµÐ¼Ð¸Ð¹Ð³ Ñ†ÑÐ²ÑÑ€Ð»ÑÑ… Ð½ÑŒ,10,4,2,1,1,3.1954178295893354,43.0,0.0
12,"Malspam collection (2016-03-02) - Locky, TeslaCrypt",34,30,35,1,1,3.294988940368578,53.97142857142857,1.0
13,OSINT - LOCKY DGA THREAT ACTOR(S),3790,4,1,0,1,3.42984196531626,57.0,1.0
14,Dridex (2016-03-07),0,10,20,1,1,0.0,117.0,1.0
15,TeslaCrypt (2016-03-08),3,4,15,1,1,3.455358362998426,90.93333333333334,1.0
16,BadMirror: New Android Malware Family Spotted by SherlockDroid,0,0,7,0,0,0.0,70.28571428571429,1.0
17,"OSINT - The Connections Between MiniDuke, CosmicDuke and OnionDuke",0,0,7,0,0,0.0,117.0,0.0
19,OSINT - New OS X Ransomware KeRanger Infected Transmission BitTorrent Client Installer,3,0,10,0,0,2.1556390622295662,91.3,1.0
20,OSINT APT Bestia used in APT attacks on Polish Government,0,0,3,0,0,0.0,72.0,0.0
21,OSINT -  Clickjacking Campaign Plays on European Cookie Law,6,0,1,0,0,3.6357100171010366,100.0,1.0
22,Dridex (2016-03-09) - botnet 220,0,24,6,1,1,0.0,49.0,1.0
23,"Malspam (2016-03-09) - Locky, TeslaCrypt",12,20,34,1,1,3.377760178887465,80.61764705882354,1.0
24,OSINT - The Cerber Ransomware not only Encrypts Your Data But Also Speaks to You,0,0,4,0,0,0.0,117.25,1.0
25,Cerber Ransomware,1,0,5,0,0,3.788754913993503,31.8,1.0
26,OSINT - Shifting Tactics: Tracking changes in years-long espionage campaign against Tibetans,5,0,9,0,0,3.684126228070381,87.88888888888889,0.0
27,"Malspam (2016-03-10) - Locky, TeslaCrypt",1,9,18,1,1,3.327819531114783,73.33333333333333,1.0
28,OSINT - Android banking trojan masquerades as Flash Player and bypasses 2FA,0,3,14,1,1,0.0,54.92857142857143,1.0
30,OSINT -  Death Comes Calling: Thanatos/Alphabot Trojan Hits the Market,1,1,4,0,1,3.784183719779189,113.0,1.0
31,'Surprise' Ransomware (2016-03-11),1,0,2,0,0,3.277613436819116,77.5,1.0
32,OSINT - PowerSniff Malware Used in Macro-based Attacks,7,0,19,0,0,3.576955674063773,116.0,0.0
35,"Malspam (2016-03-14) - Locky, TeslaCrypt",15,26,46,1,1,3.26792301285877,90.32608695652172,1.0
37,Potential SpamBots (2016-03-15),0,7,0,1,1,0.0,0.0,1.0
39,Dridex botnet 222 (20160315),0,6,31,1,1,0.0,48.29032258064516,1.0
43,Dridex of the day (2016-03-16) - botnet 120,3,41,19,1,1,3.461099201854101,106.0,1.0
44,OSINT - Malicious iBanking application with new uninstall countermeasures,0,0,3,0,0,0.0,94.0,1.0
