event_info,num_ips,has_multiple_ip_ranges,unique_ip_countries,criticite
OSINT - New Hacking team samples (OSX),1,0,1,0.0
OSINT - APT Case RUAG Technical Report,12,1,1,0.0
OSINT New Sofacy Attacks Against US Government Agency by Palo Alto Unit 42,1,0,1,0.0
Guccifer 2.0: All Roads Lead to Russia - Threatconnect report,7,1,1,0.0
OSINT - ProjectSauron: top level cyber-espionage platform covertly extracts encrypted government comms,6,1,1,0.0
OSINT Threat Group-4127 Targets Google Accounts by Secureworks,0,0,0,0.0
OSINT Microsoft Office Zero-Day CVE-2015-2424 Leveraged By Tsar Team report by iSight,1,0,1,0.0
OSINT Regin samples shared by VirusShare,0,0,0,0.0
OSINT  Analysis of Project Cobra Another extensible framework used by the Uroburosâ€™ actors from Gdata,0,0,0,0.0
OSINT Additional yara rules for Equation Drug by Florian Roth,0,0,0,0.0
OSINT 20141029B: Possible RedOctober APT Resurgence from ThreatConnect,0,0,0,0.0
OSINT Puttering into the Future...by Cylance,3,1,1,0.0
OSINT Threat Actors Use Sketchy Dating Website to Launch New Home Router Attacks by Damballa,2,1,1,0.0
Pivot on other email addresses found by using the same physical address as support-apple-id.com - potential sofacy,0,0,0,0.0
OSINT  Cheshire Cat,0,0,0,0.0
OSINT Backdoor.Win32.Equationdrug.A report by Telus,0,0,0,0.0
OSINT Enrichment on OSINT - STRONTIUM: A profile of a persistent and motivated adversary,28,1,1,0.0
OSINT Expansion on APT-28 - Evolving Threats: dissection of a Cyber-Espionage attack,12,1,1,0.0
OSINT Additional yara rules for detection Project Sauron by Florian Roth,0,0,0,0.0
The Million Dollar Dissident - Citizen lab report,6,1,1,0.0
"Malware Posing as Human Rights Organizations and Commercial Software Targeting Iranians, Foreign Policy Institutions and Middle Eastern Countries (ExtremeDownloader and Strealer)",1,0,1,0.0
OSINT New Variants of Agent.BTZ/ComRAT Found: The Threat That Hit The Pentagon In 2008 Still Evolving by Intezer,9,1,1,0.0
Finding Nemo(hosts) from Sofacy by ThreatConnect,52,1,1,0.0
OSINT Duping Doping Domains - Possible Fancy Bear Domains Spoofing Anti-Doping and Olympic Organizations by ThreatConnect,3,1,1,0.0
OSINT Track to the future - How to use historical intelligence to get back to the future and defend your organization (example using APT28) by ThreatConnect,37,1,1,0.0
A Slice of 2017 Sofacy Activity by Kaspersky,0,0,0,0.0
Turla Outlook White Paper,0,0,0,0.0
Emissary Panda Attacks Middle East Government Sharepoint Servers by Palo Alto Unit42,1,0,1,0.0
Malicious PyPI packages,0,0,0,0.0
OSINT - BfV Cyber-Brief Nr. 01/2019 - Hinweis auf aktuelle Angriffskampagne -,0,0,0,0.0
"OSINT - TA505 evolves ServHelper, uses Predator The Thief and Team Viewer Hijacking",0,0,0,0.0
OSINT -  More than a Dozen Obfuscated APT33 Botnets Used for Extreme Narrow Targeting,0,0,0,0.0
OSINT - Iranian PupyRAT Bites Middle Eastern Organizations,2,1,1,0.0
Ransomware Activity Targeting the Healthcare and Public Health Sector,5,1,1,0.0
